income,debt_ratio,credit_score,loan_amount,loan_term_months,age,employment_years,num_credit_lines,num_late_payments,credit_utilization,savings_balance,num_dependents,monthly_expenses,existing_loans,mortgage_balance,annual_spend,num_bank_accounts,avg_transaction_value,num_inquiries_6mo,collateral_value,investment_balance,credit_history_years,risk_category,employment_type
-0.4645803634932585,1.5266135463143067,638.0,-6.339496146779594,0.3505061461036312,24,-2.133639409894848,0.04810651419664899,0.883842935672541,-2.911816961854601,-0.7360413898590756,0.2806641571624531,-0.5441840838016576,6.860958256228214,0.48534761342930377,0.7924392599635538,-0.8243385277699729,2.6461633232557324,-2.5664615797306087,-0.0324422866677435,-0.08541940372354828,4.548497886585808,High_Risk,Salaried
4.017064651974742,1.1857515821529954,572.0,0.7326624082816005,-1.0142844328005667,22,1.5940570078992233,-2.531007744955305,1.6157725090045276,5.659674171742487,-4.658860814900054,0.6087948427231831,0.7296896181791137,-2.95465983677407,-0.5597080528634136,-0.8426743751532146,-0.3701751970764404,-1.1955467412535474,0.2506209241193931,4.019121971712024,-2.516402491037279,-3.5958330804629375,Low_Risk,Salaried
-0.6353873093471878,-2.662495984739273,504.0,-0.5163895375579197,-3.4943839944130444,23,0.6923336327107175,0.5306603267990326,0.5932715096152122,-0.4089904352122909,-0.4295237050841356,1.9631923460139737,0.6652942275166198,-1.8637456286565823,-1.9203353939226677,-0.9112763016363915,-2.303785512407886,3.8148855870175318,-2.0714178761909814,5.442082755495237,-0.6196948042386171,-4.713382993855204,Low_Risk,Salaried
0.21728348445248868,-0.8774220172809069,468.0,-1.0993786506256829,2.117064775196717,23,-1.8493361380999482,-0.6411517250967426,2.0136949216468123,-2.5279980349789644,0.9552006019781436,-4.337373714699798,-0.5473507672496483,2.464280195018527,-0.2319222459165419,-0.08716326271590548,1.6682503046548083,-2.377077148623938,-0.5360204956645042,-0.37942056398310925,-1.0210034065776004,-4.612215444701725,Low_Risk,Salaried
2.7397841268548184,0.7940938027393927,460.0,4.736154574797156,-1.5452130184305246,25,0.33515763680256117,-1.0093528457530736,2.940792018278081,-2.71206813465667,-1.9534729563414879,1.2928189323149755,-0.8483493575721293,-2.1583635476884324,-0.4465214776038137,0.1829399611153725,-2.2992131710289474,1.0670974582540689,1.069284426984492,7.882461429953955,0.4460967088877492,-9.910931547078519,Low_Risk,Salaried
2.898774055182291,3.6804668953668687,389.0,1.1548611909451427,-9.601300816150054,23,-1.1960715095422023,-2.0263465090116544,-1.679278322841841,4.514114246655483,0.9852537147151577,4.6255724506153735,-4.178218044354318,1.8071052710660667,0.7260388200969251,1.5324933584762588,-3.1549414643251303,-0.685260456085985,-1.1558834185717681,5.642167664772974,-3.215782960455156,-4.524669546662717,Low_Risk,Salaried
1.6877709965667662,0.880587524989122,476.0,-1.170908010583564,0.7944743825294065,23,-0.524496835968105,0.8827305215492284,2.1249596157048987,-6.540590796086724,,-1.388261825872806,-0.09386129235106244,6.903425191931674,-0.18563455095749506,2.2889879702652465,-0.37522770255469184,3.8858108160194034,2.8903310330921603,3.708403156883626,-1.8532681721453108,-2.7063666106396904,High_Risk,Salaried
0.9323592216834005,1.4896214022578174,469.0,-2.1480985830392747,2.3328746291810276,24,2.9146848041672717,-1.0137358318894099,-0.7216169501903973,-3.565837605917626,-1.021155839004099,-2.1197879661401497,2.18147006659765,-0.7149764236526087,-0.13541822603642903,1.1428846856156707,-1.185685587230267,-1.5866369626829753,3.733554982420449,-7.430184448346647,-3.0071705938621536,2.561916261926205,Low_Risk,Salaried
3.518963392293041,3.165707556789667,472.0,1.8464603715822723,3.9602487411237988,26,3.0907631685330137,-0.6500273629640515,5.165266814556003,-2.564699144907036,-0.6776161731108603,-4.709948702472906,1.270740194333755,-0.8796698886021797,2.415522636368857,2.24092317556749,-0.6905305832115191,-2.1179901042213127,-0.38065671621470765,-2.4761866181222887,0.17836737085934806,-6.104507833355904,Low_Risk,Salaried
1.6298475553646918,2.9726043597451186,509.0,-1.4147840941338006,-4.390417506862496,26,-0.4466441314315168,-0.37142385436681136,2.659430023259435,-0.5893441087768175,-2.9848964780874674,-0.5359086601260701,-0.8751987157164557,6.244872360329948,0.4248759335156216,1.9394755383212523,-3.1076871985255794,3.8429029077367245,-1.925173073358764,5.464865296587887,-2.4181099716760777,-7.802243550701597,Low_Risk,Self-Employed
